run_id,condition,bot,replication,machine,session,K,ecart,reference_recite,ev_pi_hat,ev_br,ev_realisee,actions_par_defaut,relances,erreurs_harnais,n_flags_deobf,n_flags_recitation,ecritures_intra_serie,plateau_declare,cout_tokens_in,cout_tokens_out,cout_tokens_cache_lus,cout_tokens_cache_ecrits
AE-gto-r1,AE,GTO,1,victus,4,150,0.0,0.0,0.0,0.0,-0.10666666666666667,0,0,0,1,2,0,False,555,32924,0,359859
AE-gto-r1,AE,GTO,1,victus,5,150,0.0,0.0,0.0,0.0,-0.11333333333333333,0,0,0,2,0,0,False,537,38664,0,347010
AE-gto-r1,AE,GTO,1,victus,6,150,0.008888888888888889,-0.008888888888888889,-0.008888888888888889,0.0,-0.08,0,0,0,3,0,0,False,528,31429,0,359389
AE-gto-r1,AE,GTO,1,victus,7,150,0.01273148148148148,-0.01273148148148148,-0.01273148148148148,0.0,-0.02,0,0,0,4,0,0,True,486,40155,0,329046
AE-gto-r1,AE,GTO,1,victus,8,150,0.029206150130063172,-0.029206150130063172,-0.029206150130063172,0.0,-0.18666666666666668,0,0,0,2,0,0,True,486,41523,0,307275
AE-gto-r1,AE,GTO,1,victus,9,150,0.014802631578947368,-0.014802631578947368,-0.014802631578947368,0.0,0.0,0,0,0,2,0,0,True,534,25957,0,344150
AE-gto-r3,AE,GTO,3,victus,0,150,0.12208635265700483,-0.12208635265700483,-0.12208635265700483,0.0,-0.18666666666666668,0,0,0,2,3,0,False,519,66133,0,275998
AE-gto-r3,AE,GTO,3,victus,1,150,0.0022222222222222222,-0.0022222222222222222,-0.0022222222222222222,0.0,-0.04666666666666667,0,0,0,0,0,0,False,525,37376,1943,334971
AE-gto-r3,AE,GTO,3,victus,2,150,0.010752688172043012,-0.010752688172043012,-0.010752688172043012,0.0,0.04,0,0,0,1,2,0,False,534,42420,0,343816
AE-gto-r3,AE,GTO,3,victus,3,150,0.043199855699855697,-0.043199855699855697,-0.043199855699855697,0.0,0.07333333333333333,0,0,0,1,1,0,False,504,37646,0,336080
AE-gto-r3,AE,GTO,3,victus,4,150,0.06845441595441595,-0.06845441595441595,-0.06845441595441595,0.0,-0.08,0,0,0,1,4,0,False,492,46149,0,287792
AE-gto-r3,AE,GTO,3,victus,5,150,0.06388888888888888,-0.06388888888888888,-0.06388888888888888,0.0,0.1,0,0,0,1,0,0,False,486,31973,0,301853
AE-gto-r3,AE,GTO,3,victus,6,150,0.02943121693121693,-0.02943121693121693,-0.02943121693121693,0.0,-0.06666666666666667,0,0,0,0,3,0,False,504,36099,0,312093
AE-gto-r3,AE,GTO,3,victus,7,150,0.09449404761904762,-0.09449404761904762,-0.09449404761904762,0.0,-0.26,0,0,0,0,2,0,True,558,47943,0,351153
AE-gto-r3,AE,GTO,3,victus,8,150,0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.0,0.02666666666666667,0,0,0,2,1,0,True,477,36204,0,299341
AE-gto-r3,AE,GTO,3,victus,9,150,0.0102880658436214,-0.0102880658436214,-0.0102880658436214,0.0,-0.013333333333333334,0,0,0,1,0,0,True,522,36164,0,333250
SM-station-r2,SM,Station,2,victus,0,150,0.1750487698763561,-0.06393765876524497,0.15828456345697725,0.3333333333333333,0.11333333333333333,0,0,0,0,5,0,False,450,59822,0,240850
SM-station-r2,SM,Station,2,victus,1,150,0.2482919254658385,-0.1371808143547274,0.08504140786749483,0.3333333333333333,0.16666666666666666,0,0,0,2,6,0,False,450,63064,0,240857
SM-station-r2,SM,Station,2,victus,2,150,0.19895743145743144,-0.08784632034632035,0.13437590187590187,0.3333333333333333,0.21333333333333335,0,0,0,0,2,0,False,450,59114,0,240854
SM-gto-r1,SM,GTO,1,victus,0,150,0.16906400966183574,-0.16906400966183574,-0.16906400966183574,0.0,-0.11333333333333333,0,0,0,0,3,0,False,498,65741,0,267185
SM-gto-r1,SM,GTO,1,victus,1,150,0.15793650793650793,-0.15793650793650793,-0.15793650793650793,0.0,-0.02666666666666667,0,0,0,0,2,0,False,507,66352,0,272012
SM-gto-r1,SM,GTO,1,victus,2,150,0.18620066616390146,-0.18620066616390146,-0.18620066616390146,0.0,-0.3466666666666667,0,0,0,0,2,0,False,516,69062,0,276834
AE-over-folder-r1,AE,Over-folder,1,victus,0,150,0.7757471996602432,0.0020305781175346395,0.22425280033975686,1.0,0.22666666666666666,0,0,0,0,0,0,False,459,60860,0,243549
AE-over-folder-r1,AE,Over-folder,1,victus,1,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,False,456,12557,0,263500
AE-over-folder-r1,AE,Over-folder,1,victus,2,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,False,456,10807,0,260042
AE-over-folder-r1,AE,Over-folder,1,victus,3,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,False,456,10088,0,254500
AE-over-folder-r1,AE,Over-folder,1,victus,4,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,False,456,9845,0,254947
AE-over-folder-r1,AE,Over-folder,1,victus,5,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,False,456,12431,0,254950
AE-over-folder-r1,AE,Over-folder,1,victus,6,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,False,459,8202,0,256593
AE-over-folder-r1,AE,Over-folder,1,victus,7,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,True,462,9249,0,256588
AE-over-folder-r1,AE,Over-folder,1,victus,8,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,True,456,11106,0,255544
AE-over-folder-r1,AE,Over-folder,1,victus,9,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,True,456,10958,0,255539
